epoch,acc,loss,val_acc,val_loss
0,0.20689656,1.8681812064832115,0.29445422,1.694609821682245
1,0.28929356,1.7113786983841013,0.3600352,1.6103894509060281
2,0.35218906,1.6267408789951612,0.39700705,1.5465088352351122
3,0.38641354,1.5596528674964063,0.4322183,1.47902804445213
4,0.41650522,1.5023892216868415,0.45202464,1.4493736918543425
5,0.43949375,1.4626239971275188,0.4493838,1.4076547689840828
6,0.4562831,1.421158090012489,0.48327464,1.3730347702200985
7,0.4724267,1.3853902116727723,0.49603873,1.3421408374544601
8,0.47991735,1.3560842712473904,0.50880283,1.3109198212623596
9,0.4961901,1.3363260893139377,0.5308099,1.2855342668546756
10,0.509105,1.306626606831236,0.52244717,1.2974746437139915
11,0.5107839,1.293414696541064,0.54665494,1.2603067088295037
12,0.52137417,1.2736755876705563,0.5501761,1.2334805072193415
13,0.53170604,1.2533190682324484,0.5497359,1.2359601872068056
14,0.5341599,1.2332679443730106,0.5316901,1.2511722206229894
15,0.54010075,1.2171743362045067,0.57130283,1.2040444960896397
16,0.5424254,1.2086612752098824,0.5735035,1.1955628789646524
17,0.55934393,1.1845661337163487,0.56558096,1.1885368265736271
18,0.57187134,1.1737605242416345,0.5809859,1.1741776025631059
19,0.566318,1.1648960557076937,0.5677817,1.174096962095986
20,0.57742476,1.1481180242384865,0.5695422,1.1724502184021641
21,0.58181584,1.1324918310755863,0.5721831,1.1611343269616785
22,0.5815575,1.1214719517708565,0.5757042,1.1486103421365712
23,0.5893065,1.1133721936169358,0.58890843,1.140457045234425
24,0.5811701,1.10659363696884,0.5867078,1.140355066514351
25,0.59085625,1.0985011736829045,0.59110916,1.1248153668474143
26,0.5939558,1.0857944425941668,0.57922536,1.1450351518644413
27,0.60041326,1.0692112939726948,0.5933099,1.1238694816408024
28,0.6117784,1.0606269424589478,0.60387325,1.1073397011824058
29,0.610616,1.0522963864603478,0.57086265,1.1485177467406635
30,0.6086788,1.0518913644853218,0.59551054,1.1080420541931206
31,0.6265014,1.0311661333088171,0.59551054,1.10201090973028
32,0.6187524,1.0307626757805899,0.6069542,1.1007145364099824
33,0.6263722,1.0093926244483782,0.5730634,1.1428986028046675
34,0.6299884,1.011776692827558,0.59859157,1.1036353824843823
35,0.62869686,1.010898160200071,0.6131162,1.0800153822966025
36,0.63773733,0.9899931230179241,0.5941901,1.111166545832661
37,0.6392871,0.987967620866791,0.60211265,1.0912350034210043
38,0.640062,0.9806909804333093,0.5981514,1.0984777512264923
39,0.64290327,0.9705031004953366,0.6144366,1.071986285313754
40,0.6469069,0.9675010178773636,0.61003524,1.071768408510047
41,0.649619,0.9625018337246184,0.61047536,1.069300961956172
42,0.65452665,0.9483491092685519,0.599912,1.0924897063785874
43,0.6589177,0.9422700663538508,0.5748239,1.115297933909255
44,0.6577554,0.9312252181376596,0.5950704,1.0856152542040383
45,0.6542684,0.934151574055169,0.6144366,1.0706832745755221
46,0.6559473,0.9344602592167244,0.6122359,1.0676598187903283
47,0.66873306,0.9139830942888616,0.5915493,1.106293531160959
48,0.6709286,0.909471607671664,0.60387325,1.0671741775643657
49,0.66266304,0.9166253356489888,0.61487675,1.0473464399995938
50,0.6741573,0.9034236085079259,0.6254401,1.0516277251529023
51,0.673899,0.8925485469936847,0.60739434,1.0593847416236366
52,0.68268114,0.8822841852553113,0.61663735,1.0476656367241497
53,0.67932326,0.8835367593102625,0.61047536,1.0517535965207596
54,0.69081753,0.8726947261322442,0.61003524,1.0496574268794396
55,0.68513495,0.8735597343172627,0.6183979,1.039038304396918
56,0.68590987,0.8690356841486707,0.62808096,1.034699842543669
57,0.6939171,0.860985481344913,0.61619717,1.0518849576023264
58,0.6943045,0.854034082092519,0.61663735,1.037560978405912
59,0.69701666,0.8521276178569983,0.6109155,1.0428586685111825
60,0.6913341,0.8577635849721515,0.63512325,1.0248412672482745
61,0.69856644,0.8447153115209399,0.6183979,1.037742053434043
62,0.7002454,0.8408245992463457,0.6227993,1.0426431701216898
63,0.69804984,0.8311126766572177,0.6254401,1.0305622816085815
64,0.70915663,0.8247851592909685,0.60915494,1.0462340945509119
65,0.7073486,0.8245588988662305,0.6179578,1.026840845463981
66,0.706832,0.8195087312150953,0.61135566,1.0411582263842436
67,0.7125145,0.8122337601465971,0.6197183,1.0262199199535478
68,0.71716386,0.80333159093584,0.61135566,1.0525274609386082
69,0.7126437,0.8057722222908175,0.61487675,1.046261830963719
