epoch,acc,loss,val_acc,val_loss
0,0.23724654,1.8150482248862738,0.30017605,1.6581552624702454
1,0.36962417,1.5845675947252638,0.38952464,1.5039668410596714
2,0.43161565,1.461576000696988,0.4665493,1.368228342331631
3,0.4655818,1.3905451079833173,0.5255282,1.2772042684152092
4,0.4861165,1.3494255793782826,0.55457747,1.2313246193905951
5,0.5146584,1.275111773110138,0.52640843,1.2889254303045676
6,0.5262818,1.2565046468169656,0.51672536,1.2296404095602707
7,0.5339016,1.2313256092378217,0.5633803,1.1685308839233828
8,0.55353224,1.1865765211903339,0.57702464,1.1525721814430936
9,0.57174224,1.144498847462511,0.5198063,1.252453383215716
10,0.56915927,1.1422319838231838,0.52772886,1.2301448831256008
11,0.5833656,1.1224495444081635,0.5422535,1.162031911208596
12,0.57794136,1.1183407400431258,0.58538735,1.116662192512566
13,0.6033837,1.0769849361320898,0.5616197,1.1867881553693556
14,0.6091954,1.0614968412270092,0.5823063,1.1373529644079612
15,0.6121658,1.0344489272075246,0.5765845,1.1469290523042142
16,0.6094537,1.0396806139532146,0.5893486,1.0843566962530915
17,0.63205475,1.0046394108517387,0.59198946,1.108702024943392
18,0.64393646,0.984696742955003,0.5647007,1.1644151265352545
19,0.637479,0.9836779060050312,0.5959507,1.0837025149187571
20,0.643549,0.9602809573165147,0.58450705,1.1308113758412885
21,0.63618755,0.9673147487591115,0.57922536,1.126860629609773
22,0.6514271,0.9388471746166039,0.62103873,1.0426923649411806
23,0.6574971,0.9342569345869359,0.6175176,1.0347356969411945
24,0.6633088,0.914210966344522,0.60299295,1.0879688334297126
25,0.6710577,0.9056002844385317,0.60959506,1.0377358741743463
26,0.66343796,0.9089687528839472,0.62808096,1.0175122077196417
27,0.67170346,0.886779124001177,0.60387325,1.0737931988608669
28,0.6706703,0.8905701085484399,0.60915494,1.032919080324576
29,0.68138963,0.8714702667984315,0.568662,1.1391906566183332
30,0.6828103,0.8635543442220477,0.6139965,1.0249787422133163
31,0.6913341,0.844790334585608,0.60827464,1.0748500748419425
32,0.6984373,0.8316121878864752,0.5915493,1.097775465166065
33,0.68513495,0.8397527296391011,0.6078345,1.0519079591186953
34,0.69830817,0.8315636230603555,0.6183979,1.0794846960146662
35,0.7083818,0.8052040413224111,0.62147886,1.0260404023066374
36,0.706832,0.7979321258714398,0.6179578,1.0185979109414867
37,0.71290195,0.7885991733915259,0.6294014,1.0190288938686882
38,0.7179388,0.7905345891360456,0.62235916,1.019497521956202
39,0.7143226,0.7928012744464047,0.57922536,1.1416131776403373
40,0.7188428,0.7718851043705975,0.5994718,1.06914576300433
41,0.72633344,0.762266633212066,0.6254401,0.989625649448012
42,0.7335658,0.7463319024712667,0.59551054,1.1104696685789337
43,0.72943306,0.7489459683740229,0.60915494,1.0240439489273958
44,0.72633344,0.7502418011099766,0.62852114,0.9853903373152437
45,0.74286455,0.7310846557523889,0.6241197,1.0147947270265767
46,0.7338241,0.732942023327165,0.6197183,1.0299294632925113
47,0.7462224,0.7247289519746929,0.63864434,1.0061046551440802
48,0.7422188,0.7136634059590024,0.6109155,1.0666508481536112
49,0.74402684,0.7105990615014834,0.5765845,1.1600189712160909
50,0.7512592,0.7047813038878027,0.61135566,1.0656036052485587
51,0.74157304,0.711394675885247,0.6302817,1.0132371484708618
52,0.7573292,0.677876894559168,0.60299295,1.1085804671468868
53,0.75823325,0.6831226751398828,0.6320422,1.0096130193224255
54,0.7627534,0.6652305728510401,0.63292253,1.032303359726785
55,0.7550045,0.674323631132756,0.61047536,1.0656736914960432
56,0.7679194,0.6514473214608885,0.5572183,1.2102897192390871
57,0.7556503,0.6780974580446263,0.61663735,1.0311077898237067
58,0.7591373,0.6718835678193577,0.6434859,0.9871398480215543
59,0.76585305,0.6522881058656352,0.6245599,1.0458725797878186
60,0.76934004,0.6524801752613633,0.63864434,0.9865989844563982
61,0.76727366,0.6415773479937429,0.6456866,0.9792422151691477
62,0.77747643,0.6395734337492998,0.6509683,0.97286067661685
63,0.77967197,0.6310737817290216,0.62103873,1.0607951398099391
64,0.7726979,0.6349294745273928,0.6390845,1.0174231060688765
65,0.77166474,0.6366375139401462,0.63380283,0.9939103448684786
66,0.7750226,0.6242046829966879,0.6346831,0.990964665274385
67,0.78264236,0.6163908966933512,0.6320422,1.0280636861710482
68,0.7852254,0.614774008276357,0.6505282,0.9833269615618276
69,0.78651685,0.6141555614824307,0.64172536,0.9859323008379466
70,0.79710704,0.5906874962698562,0.64260566,0.9938670694828033
71,0.7933617,0.5991906257742954,0.6448063,0.9694439108732721
72,0.80472684,0.5815873555199176,0.5959507,1.1390108699110193
73,0.79181194,0.5941695530223982,0.63292253,1.037519875231763
74,0.8043394,0.5782971884504424,0.6505282,0.9825753438430773
75,0.7968488,0.5731263378632403,0.6443662,1.0194739753931341
76,0.79465324,0.5773139159631379,0.6302817,1.0297354476552614
77,0.80317706,0.5698629362121596,0.6558099,0.9698497225386156
78,0.80227304,0.5663916425781627,0.63380283,1.0154295354871683
79,0.8033062,0.5588342561503798,0.6324824,1.0466500115646442
80,0.803952,0.5678222140423106,0.6241197,1.0623731021310243
81,0.7995609,0.5615777203344827,0.6373239,1.0342184357659918
82,0.80705154,0.5555933186223645,0.64128524,1.00266850902371
83,0.81376725,0.5424684643606861,0.64832747,1.0089632233893369
84,0.80576,0.548106369088667,0.6382042,1.054855297070364
85,0.8111843,0.5427855898667164,0.6448063,0.9896303669247829
86,0.8140256,0.5384473959081444,0.64832747,1.010736658434633
87,0.81790006,0.5350455289299322,0.6368838,1.046994471633938
88,0.81802917,0.5298952361024906,0.6263204,1.0621140458634202
89,0.81944984,0.5268745197931741,0.62808096,1.0592408913751723
90,0.8233243,0.5145721897746525,0.6368838,1.063262457369079
91,0.820483,0.5168592063906149,0.61663735,1.107795697072862
92,0.8167377,0.5242497491217639,0.65140843,1.0096547481354694
93,0.81790006,0.5298972260685649,0.6316021,1.0747263269944929
94,0.8310732,0.507799243039437,0.60255283,1.1222292819703128
95,0.8306858,0.49248315237080514,0.6465669,1.0021568917682473
96,0.8339145,0.48804636046157607,0.56073946,1.2778397042986374
97,0.8215162,0.5034719952837404,0.6571303,0.9816786574960594
98,0.82668215,0.49652989396718866,0.6254401,1.0507153579047028
