epoch,acc,loss,val_acc,val_loss
0,0.17835464,2.3317253289105095,0.17605634,2.1324632234976324
1,0.17125145,2.056174760177033,0.1971831,1.7852091319124463
2,0.18920316,2.058225557999018,0.17165492,2.5587618779128705
3,0.2515821,2.009102150095413,0.21082747,2.172953765157243
4,0.3005295,1.8489516425868668,0.21038732,2.309041092093562
5,0.390288,1.592015330310818,0.2262324,2.72172453034092
6,0.4496965,1.4130817274398833,0.30237675,1.8193932058106006
7,0.5261527,1.2256026784686729,0.24823944,2.223152644617457
8,0.6120367,1.0177097750781243,0.25880283,2.676438291307906
9,0.67157435,0.8557296387911859,0.22975352,2.757203021309745
