epoch,acc,loss,val_acc,val_loss
0,0.12606697,204.89609599022668,0.18704045,200.89033239028032
1,0.1847669,197.44396124255556,0.25321692,193.7111026539522
2,0.20236376,190.3686075993298,0.27619484,186.67641224580652
3,0.23398438,183.43423767089843,0.3212316,179.84881861069624
4,0.265298,176.60622009277344,0.36397058,173.07723999023438
5,0.28684896,169.99314829508464,0.3975184,166.52858599494485
6,0.29668874,163.52712594948068,0.40349266,160.1262925091912
7,0.32002628,157.16774798347538,0.3970588,153.8936049517463
8,0.36401838,150.96637356633508,0.42784926,147.74570599724265
9,0.32773438,144.99651921590169,0.43933824,141.81600144330193
10,0.37827814,139.05179781275868,0.3851103,136.08063013413374
11,0.3474721,133.41845989465244,0.40303308,130.4232868867762
12,0.36323047,127.82242411202063,0.43428308,124.91763485179229
13,0.3507551,122.44316086246242,0.44715074,119.61175896139706
14,0.39159554,117.19800663507854,0.4048713,114.54801537008846
15,0.36257386,112.17363270730152,0.44255516,109.53707751105813
16,0.3768877,107.23684354044462,0.4765625,104.63960849537568
17,0.39658567,102.46344384276702,0.47977942,99.98838177849265
18,0.40380827,97.89249183018585,0.4076287,95.52166029986213
19,0.36244255,93.51555807773643,0.46920955,91.14242598589729
20,0.42284963,89.1999678182821,0.4131434,87.05264102711396
21,0.39776757,85.12259483913489,0.45128676,82.98903835521025
22,0.40761656,81.17668998753328,0.4774816,79.07215118408203
23,0.38658854,77.4308484395345,0.46277574,75.43444420309628
24,0.41694024,73.74676661550882,0.4131434,71.943530811983
25,0.41759685,70.29428965217255,0.4623162,68.51486744600184
26,0.42834437,66.98759001371876,0.48483455,65.26757004681755
27,0.42087984,63.885326656008424,0.4227941,62.27945215561811
28,0.39778647,60.92678260803223,0.44255516,59.385058010325714
29,0.43827814,58.05534605266243,0.47334558,56.597233716179346
30,0.38515624,55.52796618143717,0.49172795,54.039770014145795
31,0.45134604,52.91954156946995,0.4866728,51.64094027350931
32,0.4213245,50.63823432265528,0.4986213,49.410578783820654
33,0.42442548,48.51757958725887,0.4857537,47.321850047392005
34,0.41367188,46.50724074045817,0.48115808,45.42193379121668
35,0.43112278,44.67522848258266,0.49264705,43.656849580652576
36,0.43020356,42.990292041801105,0.5055147,42.048411425422216
37,0.42692056,41.50336087503014,0.48483455,40.64322774550494
38,0.43774834,40.12391523348575,0.484375,39.36660721722771
39,0.4126302,38.952551968892415,0.47931984,38.28662019617417
40,0.45686147,37.85005785014703,0.44852942,37.34613126866958
41,0.42810243,36.962875348176915,0.5147059,36.37136571547564
42,0.46408406,36.035470042538655,0.4829963,35.5561325970818
43,0.42705187,35.28284959699164,0.48069853,34.7904265908634
44,0.4351937,34.48078186225516,0.4586397,34.028342976289636
45,0.4544977,33.717874185583426,0.4701287,33.29380888097427
46,0.419304,33.09161883058003,0.52297795,32.550432317397174
47,0.46355876,32.35424321275437,0.4430147,31.97342378952924
48,0.43900198,31.735493729479284,0.4365809,31.360322503482593
49,0.44291392,31.11224323803226,0.4751838,30.719758987426758
50,0.42695314,30.572048377990722,0.4944853,30.130067039938535
51,0.43440577,29.98310348876432,0.5096507,29.548975327435663
52,0.44136572,29.426479365147813,0.4600184,29.1027411292581
53,0.45489165,28.89207935095303,0.46047795,28.562445696662454
54,0.41418254,28.42142311091182,0.4977022,28.01030989254222
55,0.48470125,27.835804350033296,0.42922795,27.6807918548584
56,0.42363757,27.466030002626557,0.4430147,27.121745838838464
57,0.46920553,26.92662374279801,0.45818016,26.657408770392923
58,0.40472752,26.5765733970597,0.48759192,26.18866539001465
59,0.44674984,26.086946080909772,0.47840074,25.798468870275162
60,0.43466842,25.680379504118008,0.5234375,25.32016597074621
61,0.4392646,25.26701933872676,0.49264705,24.939634659711054
62,0.4464872,24.88050791714744,0.5124081,24.542178434484146
63,0.4333552,24.49447206057613,0.5188419,24.155449025771198
64,0.44005254,24.13202517228305,0.47840074,23.833742141723633
65,0.43952724,23.763465736324036,0.5128676,23.457023284014532
66,0.46789232,23.367640659234592,0.46047795,23.200729594511145
67,0.4391333,23.089307141319672,0.52205884,22.7561315648696
68,0.45804334,22.710992772533796,0.49724266,22.44536242765539
69,0.44688115,22.40434826596035,0.42463234,22.259595646577722
70,0.43624425,22.097264206323356,0.5128676,21.793765348546646
71,0.44688115,21.78803082000873,0.47334558,21.55037498474121
72,0.4485883,21.485499234615933,0.4742647,21.2589194353889
73,0.44570312,21.193218644460043,0.4076287,21.06482000911937
74,0.422587,20.943889508964354,0.5087316,20.629382077385397
75,0.45668873,20.60400012186821,0.4710478,20.410550734576056
76,0.43151674,20.377656765071798,0.5055147,20.105996187995462
77,0.43072882,20.13192430873177,0.50137866,19.835314806769876
78,0.46119502,19.779119660145188,0.5,19.600409227259018
79,0.4234375,19.62478872934977,0.49724266,19.33785124386058
80,0.4586755,19.308727923765876,0.48897058,19.098086525412167
81,0.43216145,19.113407802581786,0.46415442,18.90793463763069
82,0.45370978,18.842097051599193,0.511489,18.637588949764478
83,0.44675496,18.621973576072037,0.453125,18.46660378400017
84,0.45247397,18.38734744389852,0.5027574,18.172202502979953
85,0.43860802,18.20260618213596,0.49494484,17.953772937550266
86,0.44977018,17.95863825271416,0.50137866,17.768616844626035
87,0.43854305,17.7703184837695,0.49540442,17.558762045467603
88,0.44832566,17.55123908455561,0.44117647,17.383317274205826
89,0.44479167,17.328840605417888,0.5027574,17.133695378023035
90,0.44357616,17.17267168891351,0.4944853,16.941446640912226
91,0.44257814,16.964481671651203,0.5234375,16.725438398473404
92,0.44490066,16.760233782332463,0.511489,16.523714514339673
93,0.44986978,16.576357316970824,0.49402574,16.383445795844583
94,0.4358503,16.4190689918483,0.4931066,16.179805138531854
95,0.5000657,16.129278487182336,0.4126838,16.160785955541275
96,0.39456955,16.126500670451993,0.5188419,15.819752468782312
97,0.46789232,15.844688687665792,0.4664522,15.721353867474724
98,0.43414313,15.723102012904787,0.5022978,15.490178669200224
99,0.44244793,15.536010837554931,0.5105699,15.322886410881491
100,0.4359816,15.375680972053592,0.4476103,15.267215616562787
101,0.44344372,15.219110905855697,0.4756434,15.084976701175465
102,0.4165463,15.100386163457317,0.48069853,14.937876084271599
103,0.4516927,14.878517452875773,0.48115808,14.742128820980296
104,0.48351938,14.681994792214367,0.43566176,14.678649621851305
105,0.40013245,14.686086733104377,0.5068934,14.411034303552965
106,0.4597656,14.443750953674316,0.50045955,14.252264864304486
107,0.45854303,14.313872232247663,0.43152574,14.21972235511331
108,0.4501302,14.154723946253458,0.40808824,14.168716430664062
109,0.44202232,14.048302996980462,0.5009191,13.845353631412282
110,0.42119205,13.923111860010009,0.4935662,13.746135487275964
111,0.44479167,13.764349746704102,0.4306066,13.68542968525606
112,0.429153,13.660557165540368,0.44485295,13.528980255126953
113,0.44834438,13.500581742722467,0.41590074,13.459407638101016
114,0.45208332,13.372783629099528,0.41911766,13.337650972254137
115,0.44504267,13.267345089326936,0.4673713,13.15068805918974
116,0.43440577,13.156740713088197,0.4931066,12.957149842206169
117,0.4445174,13.024561822657043,0.47288603,12.875903466168571
118,0.42429414,12.929719855671092,0.48069853,12.761936804827522
119,0.44740644,12.773892154931552,0.4788603,12.644800354452695
120,0.4299409,12.695654182659508,0.5124081,12.50395258735208
121,0.43374917,12.56995289890843,0.45496324,12.457274661344641
122,0.44175968,12.45168417619391,0.5183824,12.279516388388242
123,0.4371635,12.34483198640539,0.4788603,12.197833453907686
124,0.43690085,12.245880877869896,0.5050551,12.063709371230182
125,0.43033487,12.133959454607197,0.48069853,11.99080893572639
126,0.44294158,12.020522729769711,0.5027574,11.852224349975586
