epoch,acc,loss,val_acc,val_loss
0,0.23724654,1.8269633929827687,0.36399648,1.6208184176767375
1,0.35322225,1.5958147369566682,0.45158452,1.4101467224913584
2,0.42696628,1.4651599565895432,0.5074824,1.3164865819501206
3,0.4633863,1.386680675456648,0.5356514,1.2748695242572838
4,0.4861165,1.3371279010565786,0.50308096,1.2910122590165742
5,0.52111584,1.2723574614734223,0.50264084,1.3127062450832045
6,0.52344054,1.247094885386593,0.587588,1.1805035581051464
7,0.5447501,1.2146453591152384,0.57790494,1.179336770319603
8,0.5497869,1.1851006953441925,0.59683096,1.141546798004231
9,0.5532739,1.1658561327083927,0.5805458,1.1477063974024544
10,0.5788454,1.110798632530499,0.58890843,1.143801082187975
11,0.57845795,1.1146026664997708,0.57174295,1.1460979215695823
12,0.59266436,1.0906795159369096,0.5924296,1.1091835387575795
13,0.60131735,1.0672437683812073,0.59110916,1.1051418900909558
14,0.6031254,1.0602194332312849,0.60827464,1.1111604537762387
15,0.609712,1.0415648469995131,0.5743838,1.1160619114066515
16,0.6235309,1.0182547147816257,0.58582747,1.109331230462437
17,0.636575,0.9835367735143812,0.5840669,1.1016046879157213
18,0.6235309,0.9990572272330218,0.599912,1.0803146290947014
19,0.64639026,0.9638033816938513,0.59110916,1.1057907086862644
20,0.64574456,0.960631800078151,0.61003524,1.0619670375132224
21,0.65491414,0.9422544974789945,0.57614434,1.1219535224454504
22,0.64819837,0.9498234125597292,0.6126761,1.066150316050355
23,0.65827197,0.9272941185047687,0.60959506,1.0795190390986455
24,0.6615007,0.9192472601466504,0.5990317,1.0982219702760938
25,0.66214645,0.9137869839649491,0.60299295,1.0645622247961206
26,0.6695079,0.897827203908386,0.60959506,1.0767552497941004
27,0.6749322,0.8882075096691638,0.60959506,1.0414098341700058
28,0.67699856,0.8798045282537555,0.62103873,1.0386675911050447
29,0.6850058,0.865914571012743,0.6153169,1.0428807563345197
30,0.6842309,0.851837315759378,0.59859157,1.075310385143253
31,0.6857807,0.8508052418094326,0.6272007,1.0058437375955178
32,0.69985795,0.8250356019428499,0.6272007,1.0184519614132357
33,0.6979207,0.8276611611595391,0.59639084,1.0636375902194373
34,0.6967584,0.8293545473096107,0.6316021,1.0096072782303247
35,0.70566964,0.8087888340778812,0.5739437,1.182869500467475
36,0.7095441,0.8047024357823859,0.63424295,1.0112780823674001
37,0.71341854,0.7921446588717427,0.6047535,1.0451511422723112
38,0.7176805,0.7851875242099395,0.5484155,1.2262023252920367
39,0.70760685,0.7954630474934633,0.6294014,1.020328056644386
40,0.71173966,0.7872372378901765,0.63292253,1.0020873365058025
41,0.72000515,0.7751690275552399,0.62103873,1.064557692534487
42,0.73111194,0.7537893833816013,0.59022886,1.1357153068545838
43,0.7303371,0.7481474147415063,0.53389084,1.2684173705712172
44,0.72865814,0.7558334115077155,0.63336265,0.9939508883046432
45,0.7384735,0.736501689414776,0.6197183,1.0399124547839165
46,0.73472816,0.7349308744259587,0.6258803,1.021857229022073
47,0.74157304,0.7200030342839445,0.6320422,0.9953929926727859
48,0.74454343,0.7213942860580916,0.6368838,1.0097026014831705
49,0.7373111,0.715230613435006,0.6245599,1.0284923243690545
50,0.74105644,0.7173406684735818,0.6324824,1.0081369173778614
51,0.7526798,0.6959167131154587,0.60255283,1.0744221095048205
52,0.74286455,0.7028518207780184,0.6320422,1.0075045422139302
53,0.75293815,0.6957872131413365,0.6069542,1.070811285991484
54,0.7628826,0.6742793699979289,0.64084506,0.9968006287662077
55,0.75694174,0.6860311646093836,0.6245599,1.0406921089325152
56,0.7699858,0.6502268584172085,0.6258803,1.0746769527314415
57,0.7627534,0.6684956591319903,0.6179578,1.0512405838030325
58,0.7707607,0.6511259011546109,0.59771127,1.0886763708902076
59,0.7667571,0.6449346361188915,0.63512325,1.0067048712935247
60,0.77825135,0.633838331816379,0.6487676,0.9839557791259926
61,0.77489346,0.6415123553850631,0.6139965,1.0679753585390641
62,0.77218133,0.6360724695689854,0.60211265,1.0703877926292553
63,0.77450603,0.6371185984104067,0.6245599,1.045412595213299
64,0.7804468,0.6230147839300734,0.62147886,1.0525579304552415
65,0.78367555,0.6020490416592288,0.61575705,1.0326391988447015
66,0.77786386,0.6292981264758415,0.6434859,0.9848589804810537
67,0.7934909,0.6007876694548827,0.60827464,1.0839092318545764
68,0.7808343,0.6237929860577632,0.6355634,1.0043214247889922
69,0.79077876,0.602251419090538,0.6487676,0.9846179189396577
70,0.7850962,0.598594900555009,0.64260566,0.985822463854098
71,0.7929743,0.598850214031413,0.6272007,1.028679448743941
72,0.79607385,0.587626985507958,0.6258803,1.0673153549432755
73,0.79232854,0.5856805041068656,0.62896127,1.013637798038167
74,0.7963322,0.5777613137460534,0.62896127,1.0495208699098775
75,0.79891515,0.5813899578496066,0.6377641,1.0168240115466252
76,0.8025313,0.5739439565702324,0.6456866,0.9755018813089585
77,0.7991735,0.576923985894946,0.6364437,1.0016547043768453
78,0.8020147,0.5662461492144814,0.6316021,1.017458599428056
79,0.80020666,0.5673450102458764,0.64744717,0.9951773632160374
80,0.8069224,0.5533392921092051,0.6302817,1.0415275203929821
81,0.8043394,0.5572039447796987,0.63512325,1.0172722736294841
82,0.8087305,0.5485396178427954,0.6496479,0.9803912422921456
83,0.8104094,0.5498353701994645,0.64700705,0.9779798455641303
84,0.8092471,0.5530337827482473,0.6465669,1.002733700397149
85,0.810926,0.5458424395289699,0.6487676,0.9934823570746771
86,0.81325066,0.5356174118506051,0.62852114,1.049572103145257
87,0.81712514,0.5294812039304855,0.64612675,0.996177147496754
88,0.8292651,0.5156778590586486,0.62984157,1.0585298443764029
89,0.8188041,0.5197575983229217,0.6540493,1.0015441412762018
90,0.81609195,0.523261425265905,0.65272886,0.9868194490251406
91,0.82267857,0.5172465520743851,0.6456866,1.0206966151444006
